[125280, 114768, 155503, 110536, 114199, 89975, 120579, 133098, 136354, 99707, 149593, 124742, 105858, 135157, 134624, 113921, 111790, 125240, 117752, 122346, 111735, 129792, 130237, 110933, 125458, 139843, 122212, 125614, 105242, 138141, 85361, 131134, 129178, 109271, 108412, 110608, 133694, 137912, 114472, 133867, 115812, 134378, 116614, 105647, 125999, 119787, 132838, 118076, 131545, 109740]
[125791, 102287, 151409, 103753, 112600, 92283, 100550, 120103, 117192, 106201, 139112, 119365, 105424, 124777, 123296, 118059, 108669, 99977, 120380, 119591, 105383, 113109, 114710, 108157, 115959, 119151, 117773, 114612, 96569, 118901, 90421, 129616, 115320, 110130, 98837, 106439, 117109, 133944, 117178, 129909, 114548, 123042, 124649, 107277, 115843, 105350, 125067, 104997, 119971, 112513]
[119275, 115257, 156514, 133584, 126092, 88985, 108174, 130332, 126503, 114890, 142479, 131304, 110381, 131414, 134011, 129414, 118608, 121785, 110699, 129519, 108966, 134467, 122890, 110061, 124503, 141024, 129718, 125068, 95458, 128973, 85912, 128862, 123637, 105007, 109652, 110926, 128119, 140774, 119055, 129891, 122280, 132934, 137676, 107848, 128123, 105297, 122790, 114376, 133771, 117693]
[126683, 117170, 160762, 119113, 118418, 104414, 119353, 131819, 116857, 107633, 152276, 120634, 101029, 126752, 131820, 127771, 120447, 117295, 122558, 127782, 103217, 114713, 125642, 102960, 119315, 142794, 121250, 128105, 109936, 131364, 90906, 130919, 124650, 106524, 107038, 122898, 126030, 144428, 115429, 140748, 110587, 133009, 114249, 107915, 116092, 111153, 125418, 103356, 125332, 115151]
[99132, 90100, 110544, 99863, 98219, 82352, 86242, 107631, 95181, 86573, 112933, 101570, 92156, 111332, 103777, 103647, 99041, 94645, 98445, 95785, 89998, 101669, 83639, 79817, 96020, 114834, 100667, 90204, 84640, 104162, 77065, 103226, 96192, 92130, 88378, 91912, 99446, 107734, 101407, 109296, 108186, 112186, 98786, 96700, 103897, 93816, 97274, 95883, 111333, 89040]
[112037, 104669, 147646, 124302, 114423, 94361, 106154, 123893, 125732, 90982, 143511, 118419, 104081, 115898, 124188, 110865, 118042, 106513, 119524, 118013, 96983, 115435, 119093, 109480, 119941, 123000, 119064, 103039, 97449, 120793, 79243, 119536, 122073, 102238, 99523, 100532, 108204, 130452, 114387, 126261, 123521, 123145, 107903, 102298, 115648, 111446, 107604, 118396, 110847, 99607]
[134603, 122490, 175149, 131099, 129371, 98028, 115018, 140507, 130065, 106775, 163281, 145856, 123829, 141618, 151148, 129246, 128083, 125222, 127123, 137508, 120958, 140388, 139190, 126373, 135161, 143785, 134465, 134189, 109063, 142231, 103480, 141801, 136559, 125425, 109481, 116321, 143900, 151801, 125206, 142628, 128192, 134097, 141258, 120687, 133080, 125683, 131941, 130948, 140539, 126283]
[115931, 108912, 144014, 118547, 108642, 96219, 108653, 111453, 124659, 104236, 135000, 124818, 98527, 122683, 121192, 104330, 103505, 99121, 107115, 133489, 102766, 128202, 108823, 96415, 117353, 126163, 119900, 106247, 93813, 111071, 79229, 118980, 111690, 104464, 79651, 93119, 121866, 119914, 121734, 117797, 105579, 121901, 110169, 104603, 109327, 113828, 118265, 103802, 115285, 89822]
[108087, 102183, 125601, 104327, 99138, 81792, 105850, 118658, 120237, 81769, 138471, 99306, 98154, 105500, 109346, 99066, 100654, 97657, 102269, 118007, 88165, 112803, 97531, 99920, 115846, 112637, 107226, 112003, 89778, 113656, 68251, 104779, 103470, 96708, 96402, 93263, 112847, 116411, 109238, 127288, 108862, 121808, 107702, 98843, 117372, 102247, 113252, 111572, 105737, 93717]
[103183, 87717, 129572, 105539, 100209, 72557, 90257, 98099, 105546, 81296, 121254, 104439, 95253, 106778, 105669, 90946, 105274, 99975, 94161, 106887, 93600, 95620, 102609, 82968, 97915, 96321, 103591, 96249, 87095, 98551, 70376, 107352, 116374, 101640, 87690, 76341, 103778, 120083, 102772, 102438, 99384, 107026, 87833, 86598, 100414, 102345, 95937, 95153, 104317, 80424]
[130172, 105680, 160589, 125320, 118948, 103272, 107915, 138405, 130582, 109328, 152527, 129430, 115842, 136050, 128141, 115878, 127113, 117756, 114920, 130137, 119135, 118237, 124517, 105576, 125813, 132015, 119595, 125051, 107128, 121901, 92033, 133901, 133887, 114146, 101316, 114739, 126530, 143125, 124357, 131200, 125862, 137422, 108889, 117498, 123565, 121326, 138519, 102443, 128071, 110423]
[143351, 112422, 163334, 128673, 137557, 97670, 114562, 131919, 141951, 108816, 165924, 139466, 120853, 141704, 154668, 136570, 123974, 128939, 133184, 132481, 121473, 125556, 126379, 118351, 135770, 146865, 141237, 119117, 116194, 131070, 94244, 130441, 143802, 113774, 114568, 131119, 132483, 141906, 135517, 138114, 129182, 141953, 135239, 123750, 139549, 108850, 145603, 111473, 140172, 117725]
